Starting trading simulation... for 60 seconds
ADDED: SELL 203 TICK101 @ $68.91
ADDED: BUY 203 TICK360 @ $37.35
ADDED: BUY 349 TICK670 @ $63.05
ADDED: SELL 137 TICK674 @ $55.62
ADDED: BUY 251 TICK571 @ $63.29
ADDED: SELL 583 TICK532 @ $26.34
ADDED: BUY 834 TICK838 @ $59.15
ADDED: SELL 718 TICK139 @ $75.35
ADDED: SELL 333 TICK951 @ $78.99
ADDED: BUY 226 TICK638 @ $33.10
MATCHED: 625 shares of TICK275 at $73.67
ADDED: SELL 975 TICK866 @ $55.95
ADDED: BUY 918 TICK45 @ $74.74
ADDED: BUY 514 TICK360 @ $45.37
  SELL ORDER: 337/962 left for TICK275 @ 73.67
  BUY ORDER: 0/625 left for TICK275 @ 90.26
ADDED: SELL 962 TICK275 @ $73.67
ADDED: SELL 681 TICK407 @ $10.56
ADDED: SELL 521 TICK994 @ $23.19
ADDED: SELL 909 TICK697 @ $24.31
ADDED: SELL 952 TICK514 @ $57.02
ADDED: SELL 338 TICK675 @ $27.36
ADDED: BUY 783 TICK406 @ $33.03
ADDED: SELL 949 TICK715 @ $69.52
ADDED: BUY 964 TICK823 @ $74.78
ADDED: BUY 432 TICK130 @ $81.57
ADDED: BUY 682 TICK569 @ $43.33
ADDED: BUY 458 TICK397 @ $94.55
ADDED: SELL 851 TICK430 @ $67.36
ADDED: BUY 542 TICK104 @ $14.73
ADDED: BUY 464 TICK458 @ $73.08
ADDED: SELL 613 TICK167 @ $44.75
ADDED: SELL 751 TICK480 @ $96.31
ADDED: BUY 520 TICK383 @ $85.17
ADDED: SELL 869 TICK437 @ $96.93
ADDED: BUY 826 TICK492 @ $12.37
ADDED: BUY 835 TICK512 @ $62.80
ADDED: SELL 750 TICK129 @ $81.08
ADDED: SELL 242 TICK975 @ $53.76
ADDED: BUY 697 TICK184 @ $23.98
ADDED: SELL 849 TICK983 @ $88.08
ADDED: BUY 416 TICK639 @ $48.74
ADDED: BUY 491 TICK471 @ $28.18
ADDED: BUY 719 TICK78 @ $61.23
ADDED: SELL 141 TICK455 @ $28.92
ADDED: SELL 570 TICK723 @ $73.50
ADDED: BUY 296 TICK818 @ $76.49
ADDED: SELL 764 TICK200 @ $92.61
ADDED: SELL 627 TICK122 @ $23.32
ADDED: SELL 875 TICK516 @ $45.84
ADDED: BUY 480 TICK943 @ $64.00
ADDED: SELL 937 TICK200 @ $13.59
ADDED: BUY 221 TICK381 @ $18.06
ADDED: SELL 267 TICK570 @ $68.86
ADDED: BUY 435 TICK403 @ $34.45
ADDED: SELL 908 TICK193 @ $38.41
ADDED: SELL 625 TICK691 @ $89.02
ADDED: BUY 131 TICK196 @ $90.30
ADDED: BUY 645 TICK818 @ $57.86
ADDED: SELL 542 TICK311 @ $29.92
ADDED: SELL 740 TICK699 @ $45.26
ADDED: SELL 482 TICK786 @ $12.51
ADDED: SELL 313 TICK413 @ $97.66
MATCHED: 296 shares of TICK894 at $16.23
  SELL ORDER: 262/558 left for TICK894 @ 16.23
  BUY ORDER: 0/296 left for TICK894 @ 56.45
ADDED: BUY 717 TICK64 @ $78.32
ADDED: SELL 558 TICK894 @ $16.23
ADDED: BUY 391 TICK574 @ $31.80
ADDED: SELL 713 TICK493 @ $76.43
ADDED: SELL 658 TICK368 @ $15.52
ADDED: BUY 947 TICK338 @ $11.69
ADDED: BUY 587 TICK244 @ $92.61
ADDED: BUY 971 TICK729 @ $81.44
ADDED: SELL 410 TICK971 @ $74.35
ADDED: SELL 616 TICK658 @ $96.25
MATCHED: 542 shares of TICK311 at $29.92
  BUY ORDER: 199/741 left for TICK311 @ 73.69
  SELL ORDER: 0/542 left for TICK311 @ 29.92
ADDED: SELL 639 TICK393 @ $51.70
ADDED: BUY 475 TICK821 @ $45.25
ADDED: SELL 243 TICK904 @ $61.62
ADDED: BUY 741 TICK311 @ $73.69
ADDED: SELL 650 TICK208 @ $90.30
ADDED: SELL 455 TICK610 @ $24.59
ADDED: BUY 510 TICK941 @ $67.34
ADDED: SELL 692 TICK782 @ $96.30
ADDED: BUY 719 TICK468 @ $45.08
ADDED: BUY 866 TICK421 @ $54.22
ADDED: BUY 414 TICK841 @ $75.06
ADDED: SELL 261 TICK851 @ $57.11
ADDED: SELL 967 TICK963 @ $80.20
ADDED: SELL 833 TICK241 @ $24.15
ADDED: SELL 145 TICK350 @ $64.20
MATCHED: 338 shares of TICK675 at $27.36
  BUY ORDER: 605/943 left for TICK675 @ 67.95
  SELL ORDER: 0/338 left for TICK675 @ 27.36
ADDED: BUY 644 TICK896 @ $45.45
ADDED: BUY 545 TICK70 @ $46.91
ADDED: BUY 412 TICK974 @ $48.85
ADDED: BUY 943 TICK675 @ $67.95
ADDED: SELL 460 TICK766 @ $37.00
ADDED: SELL 380 TICK713 @ $52.10
ADDED: BUY 575 TICK607 @ $72.39
ADDED: BUY 147 TICK223 @ $96.60
ADDED: BUY 696 TICK590 @ $37.57
ADDED: SELL 228 TICK970 @ $89.15
ADDED: BUY 126 TICK525 @ $90.15
ADDED: BUY 588 TICK552 @ $37.90
ADDED: BUY 749 TICK624 @ $78.99
ADDED: BUY 519 TICK1005 @ $34.01
ADDED: SELL 429 TICK217 @ $91.64
ADDED: SELL 392 TICK198 @ $80.37
ADDED: BUY 698 TICK667 @ $85.53
ADDED: BUY 418 TICK772 @ $31.86
ADDED: BUY 307 TICK926 @ $53.95
ADDED: SELL 155 TICK980 @ $53.21
ADDED: BUY 562 TICK219 @ $42.90
ADDED: BUY 465 TICK773 @ $51.16
ADDED: BUY 593 TICK74 @ $12.77
ADDED: SELL 277 TICK334 @ $57.20
ADDED: BUY 798 TICK96 @ $67.94
ADDED: BUY 347 TICK284 @ $89.78
ADDED: SELL 645 TICK890 @ $14.76
ADDED: SELL 623 TICK23 @ $28.17
ADDED: BUY 169 TICK901 @ $34.12
ADDED: BUY 837 TICK396 @ $33.84
MATCHED: 252 shares of TICK81 at $76.10
  SELL ORDER: 0/252 left for TICK81 @ 76.10
  BUY ORDER: 684/936 left for TICK81 @ 81.95
ADDED: SELL 252 TICK81 @ $76.10
ADDED: BUY 644 TICK346 @ $15.74
ADDED: BUY 913 TICK207 @ $24.98
ADDED: SELL 505 TICK4 @ $73.13
ADDED: BUY 664 TICK457 @ $101.03
ADDED: SELL 280 TICK838 @ $89.46
ADDED: SELL 957 TICK491 @ $29.19
ADDED: BUY 853 TICK158 @ $95.66
ADDED: BUY 366 TICK154 @ $26.78
ADDED: SELL 667 TICK526 @ $71.49
ADDED: BUY 183 TICK320 @ $37.42
ADDED: BUY 340 TICK580 @ $19.61
ADDED: SELL 409 TICK1015 @ $84.02
ADDED: SELL 234 TICK513 @ $47.27
ADDED: BUY 967 TICK128 @ $87.98
ADDED: BUY 763 TICK984 @ $32.99
MATCHED: 385 shares of TICK658 at $96.25
ADDED: BUY 982 TICK262 @ $79.84
ADDED: SELL 690 TICK147 @ $17.92
  BUY ORDER: 0/385 left for TICK658 @ 96.41
  SELL ORDER: 231/616 left for TICK658 @ 96.25
ADDED: BUY 385 TICK658 @ $96.41
ADDED: SELL 848 TICK135 @ $73.71
ADDED: SELL 685 TICK912 @ $49.50
ADDED: SELL 927 TICK452 @ $57.01
ADDED: SELL 101 TICK427 @ $15.59
ADDED: SELL 532 TICK465 @ $12.69
ADDED: BUY 320 TICK259 @ $58.17
ADDED: BUY 400 TICK532 @ $14.96
ADDED: SELL 184 TICK855 @ $99.99
ADDED: BUY 136 TICK961 @ $88.13
ADDED: BUY 671 TICK868 @ $19.44
ADDED: SELL 531 TICK112 @ $88.41
ADDED: SELL 777 TICK893 @ $91.74
ADDED: SELL 395 TICK727 @ $82.10
ADDED: BUY 266 TICK101 @ $20.30
ADDED: SELL 708 TICK495 @ $64.81
ADDED: BUY 252 TICK54 @ $55.17
ADDED: SELL 522 TICK269 @ $30.55
ADDED: BUY 580 TICK555 @ $80.02
ADDED: BUY 153 TICK475 @ $79.33
ADDED: BUY 390 TICK0 @ $14.46
ADDED: BUY 105 TICK799 @ $71.79
ADDED: SELL 675 TICK351 @ $87.90
ADDED: SELL 530 TICK415 @ $23.35
ADDED: SELL 644 TICK249 @ $82.60
ADDED: SELL 547 TICK786 @ $19.97
ADDED: SELL 940 TICK621 @ $81.74
ADDED: SELL 549 TICK487 @ $87.00
ADDED: BUY 970 TICK1008 @ $80.29
ADDED: SELL 806 TICK194 @ $56.21
ADDED: BUY 719 TICK728 @ $94.22
ADDED: SELL 631 TICK748 @ $91.46
ADDED: BUY 133 TICK615 @ $46.42
ADDED: BUY 645 TICK330 @ $55.98
ADDED: SELL 506 TICK470 @ $46.38
ADDED: BUY 946 TICK233 @ $83.26
ADDED: SELL 240 TICK1001 @ $68.68
ADDED: SELL 430 TICK1017 @ $21.79
ADDED: BUY 531 TICK223 @ $22.21
ADDED: BUY 576 TICK838 @ $81.77
ADDED: BUY 257 TICK520 @ $86.29
ADDED: SELL 500 TICK563 @ $92.26
ADDED: BUY 706 TICK345 @ $16.33
ADDED: SELL 843 TICK825 @ $99.24
ADDED: BUY 291 TICK252 @ $93.11
ADDED: SELL 950 TICK542 @ $99.23
ADDED: BUY 573 TICK458 @ $51.39
MATCHED: 120 shares of TICK569 at $10.25
ADDED: SELL 225 TICK938 @ $56.08
ADDED: SELL 486 TICK203 @ $75.74
  SELL ORDER: 0/120 left for TICK569 @ 10.25
  BUY ORDER: 562/682 left for TICK569 @ 43.33
ADDED: SELL 120 TICK569 @ $10.25
ADDED: BUY 587 TICK551 @ $22.36
ADDED: SELL 720 TICK173 @ $53.81
ADDED: SELL 483 TICK506 @ $99.14
ADDED: SELL 492 TICK450 @ $42.34
ADDED: BUY 843 TICK924 @ $73.50
ADDED: BUY 190 TICK732 @ $40.86
ADDED: BUY 578 TICK326 @ $60.15
ADDED: BUY 919 TICK210 @ $64.95
ADDED: SELL 355 TICK406 @ $58.57
ADDED: BUY 922 TICK409 @ $67.84
ADDED: SELL 232 TICK318 @ $46.74
ADDED: BUY 306 TICK474 @ $79.21
MATCHED: 643 shares of TICK1008 at $11.74
  SELL ORDER: 0/643 left for TICK1008 @ 11.74
  BUY ORDER: 327/970 left for TICK1008 @ 80.29
ADDED: SELL 643 TICK1008 @ $11.74
ADDED: SELL 117 TICK768 @ $67.25
MATCHED: 432 shares of TICK130 at $33.06
  SELL ORDER: 381/813 left for TICK130 @ 33.06
  BUY ORDER: 0/432 left for TICK130 @ 81.57
ADDED: BUY 632 TICK435 @ $68.63
ADDED: SELL 813 TICK130 @ $33.06
ADDED: SELL 785 TICK157 @ $29.60
ADDED: BUY 618 TICK648 @ $100.87
ADDED: SELL 638 TICK62 @ $56.97
ADDED: BUY 664 TICK0 @ $41.95
ADDED: SELL 295 TICK402 @ $82.41
ADDED: SELL 121 TICK367 @ $38.18
ADDED: SELL 849 TICK293 @ $50.04
MATCHED: 254 shares of TICK0 at $19.27
  SELL ORDER: 0/254 left for TICK0 @ 19.27
  BUY ORDER: 410/664 left for TICK0 @ 41.95
ADDED: SELL 254 TICK0 @ $19.27
ADDED: BUY 322 TICK1020 @ $42.44
ADDED: SELL 197 TICK140 @ $65.70
ADDED: BUY 690 TICK133 @ $71.90
ADDED: BUY 932 TICK576 @ $72.33
ADDED: SELL 508 TICK393 @ $81.10
ADDED: SELL 259 TICK386 @ $11.29
ADDED: BUY 844 TICK688 @ $12.60
ADDED: SELL 722 TICK1 @ $14.61
ADDED: BUY 528 TICK822 @ $82.97
ADDED: SELL 299 TICK261 @ $88.36
ADDED: BUY 669 TICK322 @ $95.15
ADDED: SELL 862 TICK788 @ $11.53
ADDED: SELL 603 TICK780 @ $95.28
ADDED: SELL 602 TICK973 @ $45.63
MATCHED: 255 shares of TICK386 at $11.29
  BUY ORDER: 0/255 left for TICK386 @ 97.82
  SELL ORDER: 4/259 left for TICK386 @ 11.29
ADDED: BUY 255 TICK386 @ $97.82
ADDED: SELL 412 TICK964 @ $60.16
ADDED: SELL 544 TICK760 @ $16.35
ADDED: BUY 992 TICK494 @ $74.50
ADDED: BUY 311 TICK349 @ $27.38
ADDED: BUY 968 TICK278 @ $64.43
ADDED: SELL 363 TICK116 @ $60.24
ADDED: BUY 454 TICK965 @ $23.37
ADDED: SELL 754 TICK862 @ $85.50
MATCHED: 400 shares of TICK532 at $11.73
  SELL ORDER: 196/596 left for TICK532 @ 11.73
  BUY ORDER: 0/400 left for TICK532 @ 14.96
ADDED: BUY 747 TICK158 @ $87.39
ADDED: BUY 871 TICK365 @ $74.46
ADDED: SELL 596 TICK532 @ $11.73
ADDED: SELL 981 TICK879 @ $84.03
ADDED: BUY 433 TICK153 @ $57.03
ADDED: BUY 528 TICK594 @ $91.25
ADDED: SELL 221 TICK267 @ $55.97
ADDED: SELL 835 TICK612 @ $43.46
ADDED: SELL 317 TICK450 @ $68.10
ADDED: SELL 779 TICK583 @ $55.02
ADDED: SELL 326 TICK135 @ $91.72
ADDED: SELL 308 TICK370 @ $64.32
ADDED: BUY 108 TICK186 @ $10.46
ADDED: BUY 333 TICK993 @ $24.73
ADDED: SELL 608 TICK977 @ $38.39
ADDED: BUY 176 TICK141 @ $62.89
ADDED: BUY 909 TICK749 @ $82.90
ADDED: BUY 117 TICK441 @ $75.22
ADDED: SELL 509 TICK505 @ $82.83
ADDED: BUY 413 TICK104 @ $76.46
ADDED: BUY 853 TICK578 @ $54.55
ADDED: SELL 636 TICK370 @ $16.78
ADDED: SELL 932 TICK346 @ $56.88
ADDED: BUY 592 TICK872 @ $74.54
ADDED: BUY 687 TICK460 @ $78.63
ADDED: SELL 408 TICK161 @ $49.74
ADDED: BUY 373 TICK311 @ $98.07
ADDED: BUY 271 TICK182 @ $87.82
ADDED: BUY 632 TICK539 @ $71.82
ADDED: SELL 778 TICK896 @ $75.43
ADDED: SELL 301 TICK823 @ $99.92
ADDED: BUY 243 TICK132 @ $69.42
ADDED: SELL 981 TICK178 @ $81.20
ADDED: SELL 951 TICK188 @ $55.79
ADDED: BUY 334 TICK25 @ $84.71
ADDED: BUY 411 TICK409 @ $78.28
ADDED: BUY 939 TICK7 @ $46.60
ADDED: BUY 984 TICK298 @ $41.62
ADDED: SELL 204 TICK160 @ $83.41
ADDED: SELL 496 TICK345 @ $46.42
ADDED: SELL 891 TICK67 @ $60.47
ADDED: BUY 373 TICK740 @ $97.21
ADDED: BUY 492 TICK438 @ $42.03
ADDED: BUY 523 TICK278 @ $67.17
ADDED: SELL 939 TICK694 @ $82.25
ADDED: BUY 547 TICK641 @ $93.12
ADDED: SELL 680 TICK856 @ $90.05
ADDED: SELL 522 TICK831 @ $68.54
ADDED: SELL 604 TICK874 @ $88.92
ADDED: BUY 523 TICK293 @ $47.89
ADDED: SELL 956 TICK690 @ $12.91
ADDED: SELL 990 TICK909 @ $10.69
ADDED: BUY 185 TICK611 @ $17.84
ADDED: BUY 525 TICK728 @ $58.40
ADDED: BUY 493 TICK780 @ $56.87
ADDED: SELL 360 TICK393 @ $38.35
ADDED: SELL 330 TICK872 @ $75.51
ADDED: BUY 878 TICK94 @ $77.03
ADDED: BUY 587 TICK54 @ $79.76
ADDED: BUY 353 TICK785 @ $97.97
ADDED: SELL 704 TICK180 @ $93.89
ADDED: SELL 428 TICK330 @ $75.28
ADDED: SELL 423 TICK895 @ $16.28
ADDED: SELL 616 TICK351 @ $63.60
ADDED: BUY 287 TICK622 @ $87.02
MATCHED: 676 shares of TICK262 at $42.08
  SELL ORDER: 0/676 left for TICK262 @ 42.08
ADDED: SELL 738 TICK208 @ $35.63
ADDED: BUY 793 TICK106 @ $16.57
ADDED: BUY 685 TICK701 @ $41.28
  BUY ORDER: 306/982 left for TICK262 @ 79.84
ADDED: SELL 676 TICK262 @ $42.08
ADDED: BUY 619 TICK947 @ $73.60
ADDED: SELL 170 TICK454 @ $19.41
ADDED: BUY 652 TICK466 @ $59.02
ADDED: BUY 312 TICK182 @ $67.15
ADDED: SELL 838 TICK547 @ $57.48
ADDED: SELL 225 TICK390 @ $26.27
MATCHED: 336 shares of TICK122 at $23.32
  BUY ORDER: 0/336 left for TICK122 @ 23.46
  SELL ORDER: 291/627 left for TICK122 @ 23.32
ADDED: BUY 336 TICK122 @ $23.46
ADDED: BUY 859 TICK61 @ $78.82
ADDED: SELL 604 TICK860 @ $55.11
ADDED: SELL 101 TICK221 @ $73.37
ADDED: BUY 356 TICK359 @ $99.53
ADDED: SELL 744 TICK344 @ $21.79
ADDED: BUY 726 TICK223 @ $44.41
ADDED: SELL 888 TICK114 @ $85.93
ADDED: BUY 600 TICK260 @ $81.73
ADDED: BUY 691 TICK335 @ $82.79
ADDED: BUY 967 TICK489 @ $55.96
ADDED: BUY 899 TICK443 @ $62.21
ADDED: SELL 214 TICK722 @ $17.34
ADDED: SELL 881 TICK446 @ $75.84
MATCHED: 307 shares of TICK926 at $50.42
ADDED: BUY 693 TICK301 @ $55.85
ADDED: BUY 604 TICK414 @ $72.39
ADDED: SELL 878 TICK317 @ $45.87
ADDED: BUY 783 TICK636 @ $27.28
  SELL ORDER: 171/478 left for TICK926 @ 50.42
  BUY ORDER: 0/307 left for TICK926 @ 53.95
ADDED: SELL 478 TICK926 @ $50.42
ADDED: SELL 244 TICK534 @ $89.26
MATCHED: 373 shares of TICK311 at $45.74
  SELL ORDER: 177/550 left for TICK311 @ 45.74
  BUY ORDER: 0/373 left for TICK311 @ 98.07
ADDED: SELL 807 TICK468 @ $55.36
ADDED: SELL 260 TICK339 @ $14.56
MATCHED: 177 shares of TICK311 at $45.74
  SELL ORDER: 0/550 left for TICK311 @ 45.74
  BUY ORDER: 22/741 left for TICK311 @ 73.69
ADDED: SELL 230 TICK164 @ $74.80
ADDED: SELL 550 TICK311 @ $45.74
ADDED: SELL 334 TICK856 @ $70.75
ADDED: SELL 634 TICK306 @ $81.34
ADDED: BUY 877 TICK174 @ $75.42
ADDED: SELL 815 TICK384 @ $31.23
MATCHED: 740 shares of TICK699 at $45.26
  BUY ORDER: 200/940 left for TICK699 @ 95.02
  SELL ORDER: 0/740 left for TICK699 @ 45.26
MATCHED: 200 shares of TICK699 at $86.92
  BUY ORDER: 0/940 left for TICK699 @ 95.02
  SELL ORDER: 391/591 left for TICK699 @ 86.92
ADDED: BUY 940 TICK699 @ $95.02
ADDED: SELL 597 TICK649 @ $14.98
ADDED: SELL 357 TICK274 @ $95.78
ADDED: BUY 244 TICK70 @ $34.19
ADDED: SELL 292 TICK501 @ $27.63
ADDED: SELL 722 TICK108 @ $69.58
ADDED: BUY 497 TICK332 @ $26.48
ADDED: BUY 894 TICK408 @ $25.31
ADDED: SELL 548 TICK719 @ $42.49
ADDED: BUY 586 TICK253 @ $32.01
MATCHED: 196 shares of TICK532 at $11.73
  BUY ORDER: 756/952 left for TICK532 @ 22.33
  SELL ORDER: 0/596 left for TICK532 @ 11.73
ADDED: BUY 952 TICK532 @ $22.33
ADDED: BUY 245 TICK939 @ $31.61
ADDED: SELL 789 TICK144 @ $12.03
ADDED: SELL 554 TICK829 @ $67.53
ADDED: BUY 171 TICK210 @ $39.97
ADDED: BUY 946 TICK670 @ $63.29
ADDED: BUY 359 TICK374 @ $74.43
ADDED: BUY 766 TICK293 @ $13.43
ADDED: SELL 161 TICK630 @ $17.97
ADDED: BUY 793 TICK196 @ $31.28
ADDED: SELL 860 TICK575 @ $42.89
ADDED: SELL 410 TICK843 @ $58.09
ADDED: BUY 588 TICK2 @ $21.82
ADDED: SELL 946 TICK109 @ $98.38
ADDED: SELL 174 TICK176 @ $31.76
ADDED: SELL 867 TICK362 @ $41.45
ADDED: SELL 692 TICK351 @ $76.58
ADDED: BUY 684 TICK297 @ $12.43
ADDED: BUY 642 TICK876 @ $37.62
ADDED: SELL 697 TICK120 @ $84.02
ADDED: SELL 613 TICK887 @ $70.17
ADDED: BUY 154 TICK159 @ $47.82
ADDED: BUY 819 TICK810 @ $83.88
ADDED: SELL 993 TICK928 @ $50.90
ADDED: SELL 759 TICK639 @ $74.79
ADDED: BUY 464 TICK963 @ $41.63
ADDED: SELL 343 TICK109 @ $88.51
ADDED: BUY 515 TICK48 @ $62.28
ADDED: BUY 150 TICK293 @ $25.49
ADDED: BUY 563 TICK670 @ $15.96
ADDED: BUY 890 TICK113 @ $62.75
ADDED: SELL 851 TICK495 @ $18.16
ADDED: BUY 264 TICK657 @ $40.39
ADDED: BUY 570 TICK129 @ $27.34
ADDED: BUY 884 TICK813 @ $83.47
ADDED: SELL 172 TICK853 @ $93.38
ADDED: BUY 247 TICK586 @ $24.40
MATCHED: 144 shares of TICK973 at $45.63
  BUY ORDER: 0/144 left for TICK973 @ 61.32
  SELL ORDER: 458/602 left for TICK973 @ 45.63
ADDED: BUY 144 TICK973 @ $61.32
ADDED: SELL 897 TICK427 @ $20.93
ADDED: SELL 509 TICK275 @ $17.07
ADDED: BUY 448 TICK981 @ $20.41
ADDED: SELL 108 TICK893 @ $19.66
ADDED: SELL 252 TICK817 @ $57.60
ADDED: SELL 278 TICK566 @ $58.57
ADDED: BUY 307 TICK494 @ $42.21
ADDED: BUY 296 TICK798 @ $55.16
ADDED: SELL 453 TICK870 @ $66.24
ADDED: BUY 705 TICK553 @ $69.74
ADDED: BUY 712 TICK352 @ $98.29
ADDED: SELL 384 TICK415 @ $27.75
ADDED: SELL 754 TICK417 @ $56.37
ADDED: SELL 694 TICK821 @ $85.72
ADDED: BUY 992 TICK326 @ $53.44
ADDED: BUY 945 TICK744 @ $50.57
ADDED: SELL 745 TICK469 @ $90.68
ADDED: SELL 917 TICK51 @ $31.01
ADDED: BUY 208 TICK492 @ $20.95
ADDED: BUY 957 TICK6 @ $80.18
ADDED: BUY 291 TICK669 @ $29.47
ADDED: SELL 945 TICK439 @ $83.40
ADDED: BUY 128 TICK605 @ $49.03
ADDED: SELL 890 TICK339 @ $72.68
ADDED: BUY 345 TICK813 @ $28.68
ADDED: SELL 973 TICK132 @ $90.82
ADDED: SELL 697 TICK1003 @ $70.41
ADDED: BUY 476 TICK461 @ $68.04
ADDED: SELL 658 TICK91 @ $71.77
ADDED: BUY 301 TICK885 @ $34.30
ADDED: SELL 347 TICK319 @ $83.45
ADDED: BUY 338 TICK529 @ $10.07
ADDED: SELL 149 TICK698 @ $92.89
ADDED: SELL 494 TICK314 @ $43.01
ADDED: BUY 312 TICK101 @ $20.77
ADDED: SELL 340 TICK593 @ $19.04
MATCHED: 464 shares of TICK458 at $46.56
ADDED: BUY 285 TICK89 @ $64.93
  SELL ORDER: 128/592 left for TICK458 @ 46.56
  BUY ORDER: 0/464 left for TICK458 @ 73.08
MATCHED: 128 shares of TICK458 at $46.56
  SELL ORDER: 0/592 left for TICK458 @ 46.56
  BUY ORDER: 445/573 left for TICK458 @ 51.39
ADDED: SELL 592 TICK458 @ $46.56
ADDED: SELL 592 TICK867 @ $22.09
ADDED: BUY 603 TICK324 @ $59.62
ADDED: BUY 345 TICK213 @ $44.22
ADDED: SELL 295 TICK673 @ $90.15
ADDED: BUY 171 TICK1015 @ $43.18
ADDED: BUY 863 TICK247 @ $82.07
ADDED: BUY 454 TICK4 @ $37.37
ADDED: BUY 575 TICK215 @ $39.38
ADDED: BUY 203 TICK227 @ $90.18
ADDED: BUY 797 TICK207 @ $18.51
ADDED: BUY 166 TICK657 @ $46.56
ADDED: BUY 381 TICK58 @ $27.64
ADDED: SELL 402 TICK731 @ $46.80
ADDED: BUY 987 TICK819 @ $50.37
ADDED: SELL 760 TICK162 @ $49.79
ADDED: BUY 407 TICK10 @ $59.13
ADDED: BUY 634 TICK759 @ $12.92
ADDED: SELL 726 TICK1011 @ $17.49
ADDED: SELL 196 TICK164 @ $32.47
ADDED: SELL 891 TICK890 @ $68.77
ADDED: BUY 579 TICK349 @ $37.93
ADDED: SELL 968 TICK788 @ $57.14
MATCHED: 392 shares of TICK715 at $69.52
  BUY ORDER: 0/392 left for TICK715 @ 74.05
  SELL ORDER: 557/949 left for TICK715 @ 69.52
ADDED: BUY 392 TICK715 @ $74.05
ADDED: SELL 923 TICK456 @ $16.77
ADDED: SELL 291 TICK279 @ $36.34
ADDED: BUY 267 TICK958 @ $58.46
MATCHED: 413 shares of TICK104 at $68.99
  SELL ORDER: 489/902 left for TICK104 @ 68.99
  BUY ORDER: 0/413 left for TICK104 @ 76.46
ADDED: SELL 124 TICK361 @ $78.10
ADDED: BUY 943 TICK908 @ $96.36
ADDED: SELL 902 TICK104 @ $68.99
MATCHED: 284 shares of TICK368 at $15.52
  BUY ORDER: 0/284 left for TICK368 @ 67.68
  SELL ORDER: 374/658 left for TICK368 @ 15.52
ADDED: BUY 284 TICK368 @ $67.68
ADDED: SELL 249 TICK300 @ $71.64
MATCHED: 626 shares of TICK512 at $11.50
  SELL ORDER: 0/626 left for TICK512 @ 11.50
  BUY ORDER: 209/835 left for TICK512 @ 62.80
ADDED: SELL 626 TICK512 @ $11.50
ADDED: BUY 990 TICK174 @ $40.78
MATCHED: 320 shares of TICK259 at $44.30
  SELL ORDER: 236/556 left for TICK259 @ 44.30
  BUY ORDER: 0/320 left for TICK259 @ 58.17
ADDED: SELL 847 TICK754 @ $9.93
ADDED: SELL 556 TICK259 @ $44.30
